# time	normed_dsignal
-1.602315127800259175e-06 -1.640358445722067725e-03
-1.600315127856823038e-06 -1.575312429613149896e-03
-1.598315127913386901e-06 -1.808839677052877975e-03
-1.596315127969950764e-06 -1.857763725252880877e-03
-1.594315128026514627e-06 -1.820182108101974037e-03
-1.592315128083078489e-06 -2.071614918817398301e-03
-1.590315128139642352e-06 -2.517852634992751634e-03
-1.588315128196206215e-06 -2.624430986827910265e-03
-1.586315128252770078e-06 -2.845113927379095634e-03
-1.584315128309333941e-06 -2.971100119627414268e-03
-1.582315128365897804e-06 -3.482594071192799800e-03
-1.580315128422461667e-06 -3.778076525357187878e-03
-1.578315128479025530e-06 -4.012832034478174686e-03
-1.576315128535589393e-06 -3.794894079096205325e-03
-1.574315128592153256e-06 -4.098318519708882800e-03
-1.572315128648717119e-06 -4.253720773200438468e-03
-1.570315128705280982e-06 -4.421709716371367838e-03
-1.568315128761844845e-06 -4.243625881310194095e-03
-1.566315128818408708e-06 -3.748919754248997756e-03
-1.564315128874972570e-06 -3.376275434093408984e-03
-1.562315128931536433e-06 -3.264334696707246394e-03
-1.560315128988100296e-06 -2.862026614036194440e-03
-1.558315129044664159e-06 -3.017323094162012529e-03
-1.556315129101228022e-06 -2.827057694895661420e-03
-1.554315129157791885e-06 -2.610802185233625488e-03
-1.552315129214355748e-06 -2.399525881828706419e-03
-1.550315129270919611e-06 -2.543811927591375661e-03
-1.548315129327483474e-06 -2.529451462908000395e-03
-1.546315129384047337e-06 -2.490582878335379120e-03
-1.544315129440611200e-06 -2.196508068098581689e-03
-1.542315129497175063e-06 -2.173326796004106543e-03
-1.540315129553738926e-06 -2.281553797743257270e-03
-1.538315129610302789e-06 -2.493265013286778513e-03
-1.536315129666866651e-06 -2.302671846041885045e-03
-1.534315129723430514e-06 -2.278839346957329138e-03
-1.532315129779994377e-06 -1.913639670058614028e-03
-1.530315129836558240e-06 -1.672978943008790508e-03
-1.528315129893122103e-06 -1.283971211415974424e-03
-1.526315129949685966e-06 -1.115965714725455265e-03
-1.524315130006249829e-06 -7.815151357877118997e-04
-1.522315130062813692e-06 -4.185271110520149412e-04
-1.520315130119377555e-06 -4.032376781845933649e-04
-1.518315130175941418e-06 -6.551579100570388038e-04
-1.516315130232505281e-06 -9.225979027482775425e-04
-1.514315130289069144e-06 -1.153540264729941952e-03
-1.512315130345633007e-06 -7.276321380415244752e-04
