# one_x_offsets	two_x_offsets	one_amplitudes	two_amplitudes
1.888877218059405045e-07 1.905500310589576511e-07 1.093810095564018425e+00 7.185448363748184741e-01
1.115057785927090762e-07 -2.358950109901289519e-08 7.000050137756856916e-01 1.054553806145304806e+00
1.935695253592641571e-07 -6.082215800493135735e-09 8.869693772698905576e-01 9.174785642966658550e-01
-8.393212344336284767e-10 -1.636773875335091196e-09 7.019581129416057053e-01 1.099173550121750997e+00
-9.125567963104281830e-09 9.552486143587027919e-09 1.235225558880906238e+00 8.013032388779880444e-01
2.452738194551190694e-06 1.206478551412453772e-07 7.628781895829248594e-01 1.283363716195330850e+00
1.987809863135333144e-06 7.945483153370059877e-08 7.287038415989790519e-01 1.294709808698842224e+00
1.703798608200578226e-07 1.614614996531922458e-08 7.000000000003337997e-01 1.145586815795645919e+00
1.953918425545865797e-07 1.927464617666329528e-07 1.197663501547113096e+00 7.002948139835847297e-01
5.395089517410239530e-08 6.529497456279013235e-08 1.002615490135774889e+00 8.784931206704569284e-01
-7.544358127541380097e-09 5.259593834335698957e-09 7.184699920355099856e-01 1.088215805094686628e+00
1.875601876188744950e-07 1.617955463731349565e-08 9.949782798692285990e-01 9.181386611497730499e-01
2.223167172141553373e-07 2.471266697457308743e-08 1.059256104531413722e+00 9.521255011191591677e-01
-2.577489014739436262e-08 1.762661929598981088e-07 1.043871664960340118e+00 7.000000395177042867e-01
6.930609187004481865e-08 -1.135049255066176408e-08 7.000000000001914691e-01 1.210170404847821235e+00
1.903625430714389757e-07 1.691005757433591256e-07 1.203153750386027898e+00 7.000439832594042011e-01
1.737221396778758355e-07 1.344845507510146671e-08 8.546821543101885688e-01 9.580732232134665516e-01
-4.696642731318244229e-09 -1.977538645914244929e-09 1.050001119126886540e+00 7.409530937419124275e-01
-8.002056737216630222e-09 -7.976523517241027618e-09 9.178007470549350844e-01 1.003266559487267173e+00
1.655481165839257121e-07 7.649457936729679508e-09 8.473457250607759894e-01 9.281613921459381800e-01
2.072702749797749650e-07 -1.140929597991091778e-09 1.004239756556563945e+00 8.842098262251514296e-01
1.981109793207298688e-07 -1.180698831848239525e-08 7.000000002379028752e-01 1.155003295807867758e+00
1.762381461868371443e-07 1.807688638258363464e-07 9.672292398953831194e-01 9.710267735289594970e-01
1.765295401242839057e-07 1.777648889006893293e-07 7.011111660056909001e-01 1.144130148560984939e+00
-2.750320878928198363e-09 -2.451048697195399598e-09 7.028512467993220936e-01 1.158851526899010276e+00
1.821324973608556982e-08 2.143148485995993730e-06 1.299260419874766814e+00 7.002923975776974563e-01
3.839687546461113022e-08 1.764147723827536237e-07 7.000000036225614286e-01 1.040425364855968038e+00
1.745979066756709981e-07 -7.783127033044753803e-09 7.411664850313474107e-01 1.082744786708109253e+00
8.119949282375315597e-08 -2.160878214857494417e-08 7.000000447288600158e-01 1.126737026555928223e+00
1.483164864983163175e-07 -5.818449395935589700e-08 1.251738652839726518e+00 8.641842224674064488e-01
-1.913693910429064872e-08 -1.929294170586630772e-08 1.181139175533175933e+00 8.614222214839946101e-01
3.532275571342411954e-07 2.253182925232606053e-08 7.000000014735742182e-01 1.237473751133301159e+00
-7.475940639174384921e-09 -7.316272193268208841e-09 9.544782977941597135e-01 9.945493039202988328e-01
2.032290132540742655e-06 -9.247040038389848809e-09 7.011087092932553055e-01 1.287226106536961900e+00
2.096524314154903388e-07 4.643575760140368102e-08 1.008596236073163066e+00 7.000000443417798701e-01
-1.212330908359254137e-08 -1.010757732108616177e-08 1.245847818348932545e+00 9.081556993827245572e-01
-2.075463540177312697e-08 -1.944161522175442270e-08 7.000018051284312426e-01 1.283350976989324543e+00
-1.490388550634388813e-09 -1.906322620645922362e-09 7.080788943486590048e-01 1.234986282446029815e+00
-6.546679437405082851e-08 2.476820656764344747e-08 7.000107564061288645e-01 1.219484498018942098e+00
7.375415999592846938e-09 7.798364375130209491e-09 1.291726262034408323e+00 8.324206935971878440e-01
-3.180114883153873326e-09 -7.182535703192146820e-09 7.055159206458490040e-01 1.052287392857587101e+00
-6.672803960754721054e-09 -6.669757057846994931e-09 7.255429058014870591e-01 1.070637545553583925e+00
1.883501588192350265e-07 5.541292996446406162e-08 1.259369116665797872e+00 7.000038487273049226e-01
-3.150292072121627658e-08 -9.111784736831843830e-10 7.000966424367512930e-01 1.296905871043357639e+00
9.023873019770521067e-09 1.386466332757899070e-07 1.243788503852254035e+00 7.000023663363587056e-01
1.760097503387113684e-07 1.799548995055886491e-07 1.194248380103411833e+00 7.399740272391771567e-01
3.467593600857733858e-08 2.209031984952448976e-07 7.000000214998753911e-01 9.518095413283387263e-01
-1.700075245552170770e-08 1.879269165628912971e-07 1.219283113643035321e+00 8.495560033724227633e-01
-2.270765740394826266e-08 2.043369509976445796e-07 9.674031261423841066e-01 8.581673232920563610e-01
-1.890385038789386798e-08 3.154781204345196826e-09 9.564751556322010906e-01 1.106239872339469965e+00
1.786436673870843999e-07 8.520949255603369648e-09 1.056966972098373869e+00 7.000000385317449725e-01
-3.457544745370497482e-09 -1.326836818513407588e-09 7.000219576724310278e-01 1.131191172914767229e+00
6.843858526418612193e-09 1.519369971734010992e-07 1.062883347289703906e+00 8.349474775080587552e-01
-2.871728985682024865e-08 1.114401058744532113e-08 9.164824495530298210e-01 9.903652922824421889e-01
-7.806922378556266686e-11 1.728252249443433804e-07 1.174848385821182006e+00 9.797358148208441531e-01
1.803885546648757230e-06 7.415923732773144219e-08 7.840008972695721168e-01 1.288278006596921710e+00
5.582105758433822435e-09 5.160721430360270969e-09 1.067239215204730529e+00 8.316304317950617975e-01
3.556879155220029377e-07 1.237514220264168695e-07 7.836328812395065846e-01 1.239936742688084070e+00
1.370469242657078681e-07 -4.183775554180126650e-09 1.060145336515676995e+00 7.419133337495849023e-01
