# one_x_offsets_init	two_x_offsets_init	one_amplitudes_init	two_amplitudes_init
2.385657396069869332e-07 2.787350454933954132e-07 1.300000000000000044e+00 7.052728488963858622e-01
1.037944940595963662e-07 5.185338311214817551e-08 7.012306427176584478e-01 1.300000000000000044e+00
1.358452501461707453e-07 8.396665036972130627e-08 1.188545100571314794e+00 7.043358163945506734e-01
9.886697047147270459e-08 3.921654068085081237e-08 7.887223197580586209e-01 1.300000000000000044e+00
4.047375622953136764e-08 3.230775276600926378e-08 1.181841619102538266e+00 8.395164278930762336e-01
1.684256845996714216e-08 3.463945389235039991e-08 1.257062577361525157e+00 7.087793401266959670e-01
6.581124227179471173e-08 7.705996840932948526e-08 1.153259771909780795e+00 8.193192858908587839e-01
1.976038292527795761e-06 1.198539473244189148e-07 7.211020632463519542e-01 1.300000000000000044e+00
7.309445578865586207e-08 2.004655238860634274e-06 1.300000000000000044e+00 8.246365131307231700e-01
2.622916912914121509e-07 8.119394330356351636e-08 7.333095731712137022e-01 1.066113856431433193e+00
-1.101597244653618234e-08 1.818717470462185225e-07 1.153006211303798878e+00 7.999365625960832560e-01
2.822886817080465948e-07 2.856118675092121972e-07 8.929809299428048686e-01 8.292155948448310943e-01
6.768862351079022260e-08 3.617109647050442623e-08 1.293427219976855058e+00 7.034743399644193262e-01
2.347976589036652915e-07 2.136050591836959971e-07 7.012066031216851458e-01 1.300000000000000044e+00
-6.025374633671130289e-08 1.169442816512592595e-08 1.104727389653372471e+00 8.420105332796881115e-01
2.272611437686786957e-06 2.380206405759075496e-07 8.538581992492096928e-01 1.300000000000000044e+00
2.484216748528171049e-07 2.795209613100226311e-07 9.125712535693746297e-01 8.284825511646988216e-01
2.036753974021799915e-06 5.819417103310923719e-08 1.075622691928680874e+00 1.300000000000000044e+00
2.226085503653100773e-07 2.191776312807224588e-07 1.300000000000000044e+00 7.012940869698806035e-01
8.779993782105272803e-08 1.765689868571179596e-07 8.807444722938447823e-01 9.715945789422818502e-01
1.523275804908284856e-07 4.726846077016016561e-08 9.063812566378139923e-01 1.113474423303626892e+00
1.010169336732026545e-07 8.400672960652205999e-08 9.791570118340550133e-01 8.573979885340807794e-01
2.131167242754273938e-07 3.018963023019336845e-08 7.573271765810960510e-01 1.197951613944562510e+00
2.882811835506381075e-07 2.699527335236632631e-07 7.073932924931345401e-01 1.097397703681618264e+00
1.668552151669858817e-07 4.333062541676470346e-08 7.490206438792738064e-01 1.125771891197131280e+00
6.881979885128674535e-08 1.976012459014672407e-07 1.262027564382850686e+00 7.075078465396151817e-01
5.168581562506642254e-08 5.796618528335218836e-08 1.028792801496042797e+00 8.835444741448356121e-01
1.817030558992389596e-07 2.611184868912463188e-08 1.045152173507467586e+00 1.032069995751107250e+00
2.559562020438978107e-07 4.399098029217790748e-08 7.222403396858002589e-01 1.300000000000000044e+00
1.510972965600644396e-07 3.895277103510004735e-08 8.782257966247256631e-01 1.052486749606832195e+00
6.024087285920307905e-08 4.205563966334793359e-08 1.300000000000000044e+00 7.170087990651199394e-01
6.348437971049715176e-08 2.552246328525716949e-07 1.097197746320168532e+00 7.494660029825781500e-01
1.474713329850822686e-07 4.502564847098688926e-08 1.214295127321843193e+00 8.441603882901516087e-01
6.957184402463088343e-08 1.276698134166078489e-07 1.300000000000000044e+00 7.681990325198525538e-01
2.161402367139854432e-07 2.959952409846546203e-07 1.282136122495325159e+00 7.109075546497111153e-01
1.045436418438846393e-07 7.544987315606316679e-08 1.064888415881570127e+00 7.960768759185044008e-01
1.939687959973216644e-07 3.606602125753418384e-08 7.588980493376615843e-01 1.131383644488278106e+00
6.909930726102805635e-08 3.965721709175793638e-08 7.024442586060002380e-01 1.253026160902648289e+00
-1.144143745818084702e-10 -7.508264392837987401e-11 1.090385321462255419e+00 1.076787920294448142e+00
2.452738187954329542e-06 1.206478810570866867e-07 7.628790448210791553e-01 1.300000000000000044e+00
1.987809867903372236e-06 7.945494441988192254e-08 7.287046142654649561e-01 1.300000000000000044e+00
1.616822747042172295e-07 5.641500821659905839e-08 7.045966716395137830e-01 1.298171952421915742e+00
2.174052500358908644e-07 2.841842999168105932e-07 1.300000000000000044e+00 7.082047480296619346e-01
5.395089103469612999e-08 6.529496376884636815e-08 1.300000000000000044e+00 8.784931416025950623e-01
7.966939041072379671e-08 2.224189098707586201e-08 7.326075575474177981e-01 1.220977054160267583e+00
1.830397027377018065e-07 7.023558070917040030e-08 8.595286744429658787e-01 1.191377298172923149e+00
2.030558502128455628e-07 5.286604245935495233e-08 1.144068489913700137e+00 9.456443025153946635e-01
1.298225852874614233e-09 1.481822135055989175e-07 1.052850050259871439e+00 7.855955410701400687e-01
5.043572151364031883e-08 3.334464546074473746e-08 7.243697736080322302e-01 1.281830757127425224e+00
2.258442147812848231e-07 2.188427772795350154e-07 1.300000000000000044e+00 7.457721565952217802e-01
